State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Iowa,2021.0,241.1875,181.1875,58.9375,0.875,0.1875,0.0,0.0,106.3125,38.1875
Kansas,2021.0,179.6,147.4,31.4,0.8,0.0,0.0,0.0,96.0,34.5
Kentucky,2021.0,193.5185185185185,166.66666666666666,26.555555555555557,0.2962962962962963,0.0,0.0,0.0,90.48148148148148,37.629629629629626
Louisiana,2021.0,264.2608695652174,235.04347826086956,28.47826086956522,0.6086956521739131,0.13043478260869565,0.0,0.0,98.26086956521739,32.82608695652174
Maine,2021.0,276.9,256.6,18.8,1.4,0.1,0.0,0.0,120.6,34.5
Maryland,2021.0,269.9375,220.75,46.75,2.4375,0.0,0.0,0.0,110.625,39.6875
Massachusetts,2021.0,242.07692307692307,204.53846153846155,35.84615384615385,1.6153846153846154,0.07692307692307693,0.0,0.0,121.6923076923077,37.76923076923077
Michigan,2021.0,265.6923076923077,217.26923076923077,46.03846153846154,2.3846153846153846,0.0,0.0,0.0,110.57692307692308,37.42307692307692
Minnesota,2021.0,166.6,138.6,27.75,0.25,0.0,0.0,0.0,92.75,35.05
Mississippi,2021.0,202.0,174.7,27.2,0.1,0.0,0.0,0.0,81.4,37.8
Missouri,2021.0,245.0909090909091,200.86363636363637,37.5,4.409090909090909,2.3181818181818183,0.0,0.0,113.04545454545455,40.40909090909091
Montana,2021.0,191.13333333333333,168.0,22.333333333333332,0.8,0.0,0.0,0.0,87.6,33.06666666666667
Nebraska,2021.0,227.0,190.33333333333334,34.888888888888886,1.7777777777777777,0.0,0.0,0.0,108.66666666666667,32.888888888888886
Nevada,2021.0,191.77777777777777,145.77777777777777,40.22222222222222,3.6666666666666665,1.7777777777777777,0.3333333333333333,0.0,109.55555555555556,36.55555555555556
New Hampshire,2021.0,189.71428571428572,169.71428571428572,19.571428571428573,0.42857142857142855,0.0,0.0,0.0,94.28571428571429,38.142857142857146
New Jersey,2021.0,175.8125,145.6875,29.1875,0.9375,0.0,0.0,0.0,106.1875,39.0625
New Mexico,2021.0,194.45454545454547,131.63636363636363,57.90909090909091,4.181818181818182,0.36363636363636365,0.09090909090909091,0.2727272727272727,198.8181818181818,42.81818181818182
New York,2021.0,263.14285714285717,228.67857142857142,31.928571428571427,2.392857142857143,0.14285714285714285,0.0,0.0,117.10714285714286,35.25
North Carolina,2021.0,213.35135135135135,184.3783783783784,28.81081081081081,0.16216216216216217,0.0,0.0,0.0,86.16216216216216,35.729729729729726
North Dakota,2021.0,236.2,181.9,45.6,5.8,2.9,0.0,0.0,160.2,35.9
Ohio,2021.0,249.51162790697674,197.69767441860466,50.58139534883721,1.2093023255813953,0.023255813953488372,0.0,0.0,95.74418604651163,34.604651162790695
Oklahoma,2021.0,253.55,187.25,63.1,3.0,0.2,0.0,0.0,122.7,40.6
Oregon,2021.0,177.2173913043478,156.17391304347825,19.130434782608695,0.8695652173913043,1.0,0.043478260869565216,0.0,87.21739130434783,25.434782608695652
Pennsylvania,2021.0,234.21951219512195,180.3658536585366,51.707317073170735,2.0,0.14634146341463414,0.0,0.0,122.1219512195122,39.02439024390244
Puerto Rico,2021.0,117.1,99.1,16.8,0.8,0.1,0.2,0.1,99.6,18.7
Rhode Island,2021.0,242.33333333333334,200.66666666666666,38.666666666666664,3.0,0.0,0.0,0.0,139.66666666666666,38.666666666666664
South Carolina,2021.0,218.0,180.92857142857142,36.785714285714285,0.2857142857142857,0.0,0.0,0.0,90.71428571428571,38.285714285714285
South Dakota,2021.0,178.2,154.3,23.3,0.5,0.1,0.0,0.0,94.5,32.8
Tennessee,2021.0,189.91304347826087,158.1304347826087,31.08695652173913,0.6956521739130435,0.0,0.0,0.0,90.43478260869566,36.34782608695652
